60 total peers
4.69.184.193 has 770

12.0.1.63 has 295

62.72.136.2 has 874

64.25.208.71 has 28589

64.57.29.241 has 12293

64.57.28.241 has 15

64.71.255.61 has 1708

65.49.129.101 has 11219

66.185.128.1 has 595

80.91.255.62 has 238

82.143.24.1 has 51028

85.114.0.217 has 8376

85.158.24.4 has 62512

89.149.178.10 has 559

91.209.102.2 has 28827

91.209.102.1 has 282

95.140.80.254 has 1128

96.4.0.55 has 917

119.63.216.246 has 17258

129.250.0.11 has 167

129.250.1.248 has 12278

134.222.87.1 has 148

137.164.26.26 has 11353

137.164.16.84 has 897

144.228.241.130 has 5

147.28.7.2 has 143

147.28.7.1 has 677

154.11.98.225 has 955

154.11.11.113 has 1186

157.130.10.233 has 46

164.128.32.11 has 149

167.142.3.6 has 990

189.36.224.1 has 26108

192.203.116.253 has 10

192.43.217.141 has 12791

194.71.0.1 has 34817

194.85.40.15 has 125524

195.209.15.251 has 166

195.22.216.188 has 765

198.124.216.237 has 14676

198.129.33.85 has 591

202.167.228.37 has 20623

202.167.228.74 has 56194

202.167.228.38 has 3595

202.167.228.44 has 22958

202.167.228.20 has 46184

202.167.228.81 has 1112

202.167.228.107 has 4332

202.167.228.46 has 16373

202.232.0.3 has 707

203.181.248.168 has 745

203.62.252.186 has 706

205.167.76.241 has 122726

206.24.210.102 has 507

208.51.134.246 has 141

209.123.12.51 has 159

213.144.128.203 has 149

213.248.80.244 has 31865

216.18.31.102 has 209

216.218.252.164 has 421

